,Coefficient
seller_state_DF,0.00045277263506321056
seller_state_ES,0.0007507878486456531
seller_state_GO,0.0008292619221023946
seller_state_MG,0.001910131847597844
seller_state_PB,2.0385849529686705e-05
seller_state_PE,1.922776335620625e-05
seller_state_PR,0.006844143754279197
seller_state_RJ,0.003547547853456102
seller_state_RS,0.0017900112365993462
seller_state_SC,0.0007150078639288225
seller_state_SP,0.0055858528203563745
