,Coefficient
seller_city_brasilia,5388454640.798628
seller_city_brusque,12229883642.966263
seller_city_camboriu,87696982385.67473
seller_city_campinas,787048055.0105591
seller_city_campo bom,14843531978.261578
seller_city_campo do meio,885852282.8367691
seller_city_canoas,14843531980.499168
seller_city_carapicuiba,787048057.7471981
seller_city_carazinho,14843531978.425915
seller_city_cascavel,146068558.24558818
seller_city_catanduva,787048051.758187
seller_city_caxias do sul,14843531981.06594
seller_city_claudio,885852284.2304306
seller_city_conselheiro lafaiete,885852285.7888775
seller_city_contagem,885852286.7487068
seller_city_cotia,255835597.30636013
seller_city_curitiba,3696694945.2982883
seller_city_diadema,787048056.1642389
seller_city_domingos martins,22954960.45752834
seller_city_duque de caxias,22732955672.86859
seller_city_embu das artes,787048050.8592119
seller_city_estancia velha,14843531977.686152
seller_city_extrema,885852285.3462877
seller_city_floranopolis,7699962377.575697
seller_city_florianopolis,12229883644.834465
seller_city_formosa,265410180.59746343
seller_city_fortaleza,5906509614.6081085
seller_city_franca,787048058.4064741
seller_city_franco da rocha,787048056.1282072
seller_city_garca,787048056.1799378
seller_city_garulhos,74816061833.07776
seller_city_gaspar,12229883642.38266
seller_city_goiania,63097669180.23386
seller_city_goioere,48975817.30111313
seller_city_guaira,11579691.65927124
seller_city_guaratuba,241546287.34127045
seller_city_guaruja,1364366163.934203
seller_city_guarulhos,787048054.8066177
seller_city_hortolandia,83286144.08239746
seller_city_ibitinga,787048055.5708027
seller_city_indaiatuba,31932121010.099968
seller_city_ipira,62704329003.550476
seller_city_irati,3696694943.2419586
seller_city_itajai,12229883642.47054
seller_city_itapecerica da serra,787048055.6599923
seller_city_itapeva,787048055.9321823
seller_city_itaporanga,787048053.7782764
seller_city_itaquaquecetuba,787048056.5420122
seller_city_itirapina,76394023.97751802
seller_city_itu,787048055.6062584
seller_city_ivoti,14843531977.31591
seller_city_jacarei,23597899.916052964
seller_city_jacarei / sao paulo,2136948.4724427955
seller_city_jaguariuna,787048057.0857971
seller_city_jaragua,54178276.81918595
seller_city_jaragua do sul,12229883646.30717
seller_city_jau,787048055.162255
seller_city_joao pessoa,6128874116.384687
seller_city_joinville,12229883648.018702
seller_city_juiz de fora,56998455.83593457
seller_city_jundiai,787048056.0382576
seller_city_lambari,12788113712.466988
seller_city_lauro de freitas,18283989412.24892
seller_city_limeira,787048055.2530289
seller_city_loanda,68100511.40748644
seller_city_londrina,3696694945.003974
seller_city_marilia,787048055.5144901
seller_city_maringa,3696694945.506389
seller_city_maua,787048053.189743
seller_city_mogi das cruses,0.0
seller_city_mogi guacu,787048054.2503891
seller_city_monte alegre do sul,787048055.7587414
seller_city_morrinhos,31117540528.394455
seller_city_muriae,885852289.0012245
seller_city_nhandeara,0.0
seller_city_niteroi,22732955673.530655
seller_city_nova friburgo,158437997035.35995
seller_city_nova iguacu,22732955675.63796
seller_city_novo hamburgo,14843531982.899181
seller_city_orleans,12229883644.683743
seller_city_osasco,787048053.9872742
seller_city_palhoca,12229883644.801144
seller_city_paracambi,1672302588.0188742
seller_city_paraiba do sul,26479538889.077076
seller_city_pedreira,787048055.2336884
seller_city_picarras,12229883645.979095
seller_city_pinhais/pr,3696694947.669483
seller_city_pinhalao,3696694943.976269
seller_city_piracicaba,787048057.466867
