,landing_page_id,origin,sdr_id,sr_id,business_segment,lead_type,lead_behaviour_profile,business_type,seller_state,sdr_load,sr_load
342,31,social,mid,low,home,online_beginner,eagle,reseller,SP,7.0,11.0
343,13,direct_traffic,low,low,kids,offline,cat,reseller,SP,11.0,10.0
344,100,paid_search,low,low,home,online_big,cat,reseller,SP,10.0,10.0
345,62,direct_traffic,low,low,home,online_big,cat,reseller,SP,4.0,9.0
346,62,organic_search,low,low,food,online_small,eagle,manufacturer,SP,5.0,9.0
347,46,social,high,low,home,online_big,cat,reseller,GO,35.0,5.0
348,62,organic_search,high,low,home,online_medium,shark,manufacturer,SC,14.0,3.0
349,100,organic_search,mid,low,miscellaneous,online_medium,cat,manufacturer,PR,20.0,10.0
350,100,paid_search,mid,low,automobiles,online_big,cat,reseller,SP,12.0,3.0
351,13,direct_traffic,mid,low,home,online_medium,cat,reseller,SP,13.0,4.0
352,100,paid_search,mid,low,home,online_medium,eagle,manufacturer,SP,26.0,10.0
353,13,paid_search,mid,low,home,online_medium,eagle,reseller,SP,13.0,1.0
354,62,paid_search,mid,low,home,online_medium,cat,reseller,SP,7.0,6.0
355,100,paid_search,mid,low,miscellaneous,online_big,cat,reseller,SP,5.0,3.0
356,56,unknown,mid,low,miscellaneous,online_big,cat,reseller,SP,5.0,5.0
357,56,unknown,low,low,kids,industry,cat,manufacturer,SP,5.0,5.0
358,26,social,low,low,furniture,online_beginner,eagle,reseller,SP,4.0,5.0
359,56,organic_search,high,low,electronics,online_medium,shark,reseller,SP,23.0,5.0
360,100,paid_search,high,low,kids,online_beginner,cat,manufacturer,SC,53.0,10.0
361,100,rest,high,low,home,offline,cat,reseller,PR,25.0,6.0
362,26,paid_search,high,low,home,online_medium,cat,reseller,MG,12.0,6.0
363,13,organic_search,mid,low,miscellaneous,online_big,cat,reseller,SP,15.0,6.0
364,100,paid_search,mid,low,miscellaneous,online_small,cat,reseller,SP,33.0,8.0
365,26,unknown,mid,low,electronics,online_medium,cat,reseller,SP,28.0,7.0
366,13,organic_search,mid,low,miscellaneous,industry,cat,manufacturer,PR,5.0,9.0
367,13,organic_search,mid,low,hobby,online_medium,eagle,reseller,SP,5.0,4.0
368,56,unknown,low,low,automobiles,online_medium,wolf,reseller,PR,9.0,3.0
369,100,unknown,low,low,miscellaneous,online_beginner,cat,reseller,SP,4.0,2.0
370,56,unknown,mid,low,food,online_medium,cat,manufacturer,SP,9.0,5.0
371,100,rest,mid,low,health,online_big,eagle,reseller,SP,23.0,5.0
372,26,paid_search,mid,low,health,online_big,wolf,reseller,GO,19.0,5.0
373,13,organic_search,low,low,home,industry,cat,reseller,MG,5.0,4.0
374,62,organic_search,low,low,home,offline,cat,reseller,SP,7.0,4.0
375,100,unknown,low,low,health,offline,eagle,reseller,RS,8.0,3.0
376,100,social,mid,low,home,online_big,cat,reseller,SP,20.0,1.0
377,100,paid_search,low,low,electronics,online_medium,eagle,reseller,RJ,8.0,1.0
378,100,paid_search,low,low,home,online_medium,wolf,manufacturer,RJ,0.0,0.0
379,56,unknown,low,low,miscellaneous,industry,cat,manufacturer,SP,14.0,0.0
